,road_Rolling FG,road_Rolling 3P,road_Rolling FT,road_Rolling DR,road_Rolling AST,road_Rolling ST,road_Rolling TO,road_Rolling BL,road_Rolling PTS,road_Rolling AST/TO,road_Rolling 3P%,road_Rolling FG%,road_Rolling FT%,road_SPREAD,home_Rolling FG,home_Rolling 3P,home_Rolling FT,home_Rolling DR,home_Rolling AST,home_Rolling ST,home_Rolling TO,home_Rolling BL,home_Rolling PTS,home_Rolling AST/TO,home_Rolling 3P%,home_Rolling FG%,home_Rolling FT%,home_SPREAD,PLUS_MINUS,Home Team Won?
1485,37.233333333333334,5.9,15.666666666666666,34.833333333333336,23.233333333333334,7.166666666666667,14.3,4.333333333333333,96.03333333333333,1.7601857550773958,0.33635352836093174,0.45453193942186,0.7524480377541063,5.0,39.13333333333333,6.366666666666666,16.966666666666665,32.03333333333333,21.433333333333334,6.733333333333333,12.9,4.3,101.6,1.8866470103970114,0.3404534232699193,0.46276223869426353,0.7491181420054932,-5.0,37,1
1486,38.03333333333333,8.633333333333333,16.766666666666666,33.13333333333333,23.666666666666668,8.066666666666666,12.166666666666666,2.933333333333333,101.46666666666667,2.204734015984017,0.3162838046486851,0.4313134798359224,0.7664632309384986,6.0,38.5,12.033333333333333,17.166666666666668,33.266666666666666,22.533333333333335,7.966666666666667,14.166666666666666,4.266666666666667,106.2,1.6745614244143663,0.38490702942059674,0.46948187315394635,0.7448428065048478,-6.0,-9,0
1487,37.166666666666664,8.333333333333334,17.8,34.4,22.166666666666668,6.433333333333334,12.5,4.533333333333333,100.46666666666667,1.9742575541646752,0.3801074053574388,0.45321010658983957,0.7719438843293459,-5.5,37.766666666666666,7.966666666666667,14.9,31.033333333333335,21.733333333333334,7.233333333333333,11.966666666666667,4.866666666666666,98.4,2.1869757376839427,0.3280174106173867,0.43870846983148204,0.7180844839880831,5.5,-4,0
1488,37.1,5.966666666666667,16.433333333333334,31.766666666666666,23.066666666666666,9.366666666666667,15.633333333333333,5.233333333333333,96.6,1.5918429066670758,0.3361542414986686,0.44938754799621833,0.7447010820471665,-11.0,33.833333333333336,5.8,16.966666666666665,30.133333333333333,20.566666666666666,6.933333333333334,13.3,5.566666666666666,90.43333333333334,1.6914877981209253,0.3171743644548866,0.4087163081626376,0.7807152874487774,11.0,-8,0
1489,41.0,8.333333333333334,16.033333333333335,33.9,24.4,8.966666666666667,12.766666666666667,5.566666666666666,106.36666666666666,2.0710915486302484,0.3638559048437522,0.4820984353546462,0.8087919362836639,-3.5,37.56666666666667,10.966666666666667,19.0,32.43333333333333,23.9,9.033333333333333,15.133333333333333,5.266666666666667,105.1,1.7046208295700152,0.3401166888501233,0.446374021215988,0.7193959574790564,3.5,-1,0
1490,37.13333333333333,6.733333333333333,15.633333333333333,32.9,19.233333333333334,8.366666666666667,14.866666666666667,4.5,96.63333333333334,1.3519474913631255,0.30994195259531493,0.4348827439245591,0.712076804340731,9.0,36.93333333333333,8.1,15.066666666666666,31.766666666666666,23.066666666666666,6.233333333333333,13.666666666666666,6.5,97.03333333333333,1.8232085615909144,0.40699503408954957,0.45924684456298315,0.7328487906222766,-9.0,15,1
1491,37.13333333333333,6.2,20.7,32.4,21.5,6.833333333333333,15.533333333333333,4.1,101.16666666666667,1.4553803900204831,0.3526109595407841,0.4538749234961136,0.73581346349183,13.5,40.733333333333334,8.166666666666666,20.5,35.266666666666666,21.433333333333334,7.233333333333333,14.5,5.033333333333333,110.13333333333334,1.5827068063129441,0.3640434123225373,0.45949116235182624,0.7827466697121593,-13.5,13,1
1492,38.3,7.933333333333334,16.4,31.933333333333334,21.1,8.266666666666667,13.133333333333333,3.7666666666666666,100.93333333333334,1.810706895300548,0.326697115340504,0.44934314334615644,0.7401565164090962,1.5,37.266666666666666,8.666666666666666,16.666666666666668,31.0,21.533333333333335,9.033333333333333,13.233333333333333,4.533333333333333,99.86666666666666,1.7595820590944427,0.3308219951873032,0.4291270209914334,0.7218610729325747,-1.5,-1,0
1493,36.5,4.9,16.166666666666668,31.6,20.966666666666665,8.766666666666667,13.3,4.133333333333334,94.06666666666666,1.7765250172370919,0.33014025007462877,0.4527737615716235,0.7786936593887179,-2.5,34.5,7.7,16.466666666666665,33.36666666666667,19.2,8.533333333333333,14.166666666666666,6.3,93.16666666666667,1.4356933888551533,0.34831981943604773,0.44166633353001644,0.6915360196526631,2.5,-1,0
1494,36.13333333333333,4.666666666666667,21.3,30.1,20.966666666666665,7.666666666666667,14.466666666666667,3.7,98.23333333333333,1.587422536613713,0.3244001842956952,0.44479213467437084,0.7957055902459153,5.0,37.43333333333333,6.166666666666667,15.866666666666667,33.1,21.3,6.866666666666666,12.6,4.5,96.9,1.848616911411029,0.3374270756152907,0.43724856664237916,0.7333698931224285,-5.0,8,1
1495,33.6,5.733333333333333,17.3,30.6,20.566666666666666,6.933333333333334,13.666666666666666,5.666666666666667,90.23333333333333,1.6656330972662243,0.3183282106087328,0.40799118544956303,0.7814728632063532,11.0,38.266666666666666,6.5,13.366666666666667,31.766666666666666,21.733333333333334,8.533333333333333,14.4,4.2,96.4,1.6049691149923349,0.3259254519192934,0.45186785251806805,0.7599665363801988,-11.0,-1,0
1496,36.833333333333336,8.733333333333333,18.8,31.0,20.4,7.5,12.2,4.0,101.2,1.9029114379523258,0.35443867125526296,0.45315243522045545,0.8020170637160017,3.5,36.5,6.566666666666666,17.7,30.733333333333334,19.833333333333332,7.966666666666667,14.733333333333333,4.9,97.26666666666667,1.4655371711030276,0.33323516702934514,0.45623665621801884,0.7610553874975502,-3.5,-3,0
1497,34.666666666666664,10.366666666666667,15.3,32.333333333333336,20.933333333333334,9.3,15.366666666666667,5.866666666666666,95.0,1.4725803662568364,0.3541187339514601,0.40667472175855507,0.6458733645364894,15.5,36.03333333333333,8.1,17.9,34.4,22.266666666666666,5.966666666666667,12.8,4.266666666666667,98.06666666666666,1.932550363579775,0.3428623505364883,0.44026438207011953,0.7957207356885081,-15.5,7,1
